code,country,areakm2,cen_lat,cen_lon,elev,distcr,distc,distr,tropicar,troppop,lc100km,lcr100km,pop95,pdenpavg,pop100km,pop100cr,cen_c,cen_cr
AFG,Afghanistan  ,646212,33.78231,66.1685,1884.71,942.351,942.467,2173.6,0,0,0,0,1.98E+07,101.466,0,0,912.242,911.66
ALB,Albania,27899.96,41.14326,20.25988,911.4299,77.5443,76.038,387.121,0,0,0.8584242,0.8754494,3024697,138.108,0.8,0.8,88.3814,87.9127
DZA,Algeria,2309484,28.14225,2.828547,572.8028,765.93,765.875,1353.35,0.1666558,0.0046121,0.0427152,0.0432348,2.50E+07,340.084,0.68,0.68,909.241,909.982
AGO,Angola,1235014,-12.35773,17.73944,1112.805,481.495,509.511,593.664,1,1,0.1152011,0.1380146,1.03E+07,39.122,0.22,0.24,439.988,440.669
ARG,Argentina,2775401,-35.38706,-64.92097,595.62,271.642,388.408,832.692,0.0270889,0.008644,0.1106146,0.1968905,3.10E+07,47.908,0.2,0.32,478.949,478.127
ARM,Armenia,30643.8,40.30967,45.21657,1792.034,420.939,420.939,832.382,0,0,0,0,3632465,105.577,0,0,412.509,413.293
AUS,Australia   ,7662592,-25.84766,134.6131,272.4731,354.887,354.777,5188.9,0.3818873,0.0391319,0.1930091,0.1946437,1.57E+07,799.967,0.83,0.83,708.199,707.832
AUT,Austria,84905.64,47.59834,14.31527,898.7706,79.4891,263.147,81.3668,0,0,0.00795,0.6080279,8617498,778.226,0.01,0.71,71.8189,222.423
AZE,Azerbaijan,87881.22,40.27108,47.8243,750.5538,696.768,696.794,1068.69,0,0,0,0,7354703,66.356,0,0,689.601,690.335
BGD,Bangladesh,135886.9,23.81429,90.42107,85.4761,41.1235,151.964,79.8286,0.4210526,0.3494718,0.4078759,0.9715799,1.14E+08,1060.791,0.38,0.98,21.7295,102.875
BEL,Belgium,31318.33,50.66245,4.826458,181.7746,38.3926,123.756,53.2518,0,0,0.4981109,0.9922305,1.03E+07,1048.776,0.66,0.99,23.5143,101.379
BLZ,Belize,22127.11,17.21523,-88.52512,173.3061,25.4552,25.7268,1292.66,1,1,0.9987746,0.9987746,208650,13.273,1,1,24.7126,24.0994
BEN,Benin,116045.6,9.616513,2.552924,273.4081,352.174,355.202,617.711,1,1,0.1124558,0.1131021,5428838,198.822,0.51,0.51,355.479,357.799
BTN,Bhutan,38303.91,27.39507,90.58325,2220.219,136.476,506.893,136.476,0,0,0,0.2441004,1964967,254.516,0,0.45,134.061,500.996
BOL,Bolivia,1090806,-16.72635,-64.43522,1192.57,453.98,743.672,623.248,1,1,0,0.0247294,7445214,12.522,0,0.02,683.864,684.278
BIH,   Bosnia and Herzegovina,51385.29,44.17501,17.9927,702.2336,67.2865,136.692,104.18,0,0,0.3605117,0.8426536,3430252,85.975,0.31,0.82,101.162,138.93
BWA,Botswana,589403.2,-22.26193,23.95509,1013.629,799.264,857.53,964.137,0.6948134,0.5017304,0,0,1544234,41.789,0,0,933.992,1040.78
BRA,Brazil,8420640,-10.83416,-52.87329,319.2997,315.764,683.278,610.338,0.9312326,0.7518759,0.0870005,0.2112785,1.47E+08,503.878,0.34,0.37,745.226,1034.57
BRN,Brunei,6733.067,4.475859,114.8555,478.7564,33.5407,33.5407,1143,1,1,1,1,233433,43.479,1,1,37.1857,38.0153
BGR,Bulgaria,119438.6,42.79115,25.34952,421.2224,73.0677,158.608,118.595,0,0,0.2616407,0.6566135,9184847,226.465,0.27,0.6,88.9743,203.137
BFA,Burkina Faso,276522.2,12.26572,-1.53909,297.8957,731.845,732.248,960.376,1,1,0,0,1.05E+07,64.755,0,0,747.622,746.853
BDI,Burundi,28289.77,-3.514774,30.0655,1504.207,1009.66,1009.66,1860.04,1,1,0,0,5911982,272.686,0,0,1008.3,1007.55
BLR,Byelarus,205718.3,53.54709,28.23455,160.8277,46.7627,687.557,46.7627,0,0,0,0.892118,1.04E+07,58.333,0,0.9,68.9863,786.616
KHM,Cambodia,182318.4,12.69332,105.0368,126.4433,147.114,187.759,188.946,1,1,0.2427072,0.378733,1.03E+07,345.353,0.25,0.67,126.802,230.32
CMR,Cameroon,463006.3,5.680264,12.92409,667.4828,405.651,453.531,729.264,1,1,0.0974069,0.1286699,1.27E+07,95.794,0.13,0.15,337.583,410.495
CAN,Canada,9590309,61.06258,-98.37773,487.6221,1466.67,1567.98,1690.72,0,0,0.0233856,0.063254,2.76E+07,883.357,0.11,0.68,1712.84,3013.38
CAF,Central African Republic,631687.8,6.504555,20.60242,635.7053,1175.28,1241.7,1504.49,1,1,0,0,3290360,59.749,0,0,1165.39,1236.57
TCD,Chad,1268417,15.31419,18.80826,543.3225,1275.02,1319.58,1494.51,1,1,0,0,6825126,17.173,0,0,1570.78,1625.65
CHL,Chile,668868.7,-35.81583,-70.89063,1871.129,112.301,111.604,1532.05,0.1858728,0.0384461,0.568572,0.5821023,1.33E+07,210.804,0.41,0.41,168.764,167.6
CHN,China,9344594,36.59114,103.9404,1839.95,765.061,1090.58,871.236,0.0319153,0.0673989,0.0513051,0.129072,1.16E+09,787.353,0.19,0.45,955.519,1533.71
COL,Colombia,1153540,3.881151,-72.86671,593.12,200.267,422.649,329.266,1,1,0.1571684,0.270992,3.84E+07,142.511,0.24,0.25,355.784,464.536
COG,Congo,329168.3,-0.878413,15.33877,430.1534,507.805,530.122,612.169,1,1,0.046177,0.0477719,2390112,2124.971,0.16,0.18,568.833,568.904
CRI,Costa Rica,50525.34,10.0115,-83.95204,746.2103,35.7302,35.4753,1025.33,1,1,0.9985089,0.9985089,3454519,1043.337,1,1,63.7253,63.4968
HRV,Croatia,53732.65,45.11008,16.65255,331.5601,33.8831,146.434,77.042,0,0,0.4708497,1,4232091,84.877,0.45,1,23.683,170.242
CUB,Cuba,100428.7,21.69808,-78.7944,108.2346,21.0312,21.2422,649.462,1,1,1,1,8918043,364.518,1,1,3.90471,3.33981
CYP,Cyprus,9181.428,35.03115,33.29025,9.1667,11.0395,10.9391,555.636,0,0,0.9856855,0.9856855,634192,85.323,1,1,27.3546,29.9119
CZE,Czech Republic,80164.98,49.77929,15.54208,433.0312,76.9749,434.554,76.9749,0,0,0,0.7384771,1.08E+07,151.248,0,0.75,118.291,447.847
DNK,Denmark,32407.53,56.11416,9.969104,34.2589,22.7144,22.5183,295.581,0,0,1,1,3063775,324.48,1,1,29.7443,29.5371
DJI,Djibouti,21507.87,11.70233,42.77842,430.256,35.2189,35.2859,1762.04,1,1,0.9787117,0.9845235,469535,174.872,1,1,1.60821,1.04331
DOM,Dominican Republic,45356.82,18.95221,-70.3202,424.8582,29.725,30.1839,1013.64,1,1,1,1,6446586,771.848,1,1,65.8708,67.7233
ECU,Ecuador,248705.8,-1.462879,-78.18696,1117.178,185.354,188.69,623.703,1,1,0.345589,0.352927,1.06E+07,99.502,0.51,0.51,214.5,214.661
EGY,Egypt,1000480,26.40978,30.0268,321.5979,224.202,331.364,297.883,0.1982739,0.0130164,0.2225183,0.3805425,5.99E+07,1546.126,0.52,0.99,145.243,398.538
SLV,El Salvador,20886.14,13.78259,-88.68198,442.0164,44.2959,44.675,1567.77,1,1,0.9874971,0.989891,5549905,619.463,0.98,0.98,52.9227,52.6044
GNQ,   Equatorial Guinea,24629.74,1.6366,10.47573,577.8627,85.1343,93.6838,586.639,1,1,0.6638315,0.7633047,266974,16.751,0.52,0.61,72.96,80.8615
ERI,Eritrea,128503.3,15.25868,39.17321,853.3859,93.3819,93.3543,1210.58,1,1,0.5700245,0.5700245,3408686,140.044,0.77,0.77,48.5299,48.463
EST,Estonia,38744.69,58.63206,25.98764,61.9125,84.0404,507.834,168.64,0,0,0.7130009,0.7162271,1207118,36.487,0.66,0.66,105.046,500.491
ETH,Ethiopia,1135775,8.56201,39.80767,1330.062,492.78,492.893,1911.57,1,1,0.0149898,0.0151879,5.52E+07,456.071,0.02,0.02,466.815,466.808
FIN,Finland,333517.9,64.42968,26.44841,164.483,181.67,494.863,314.631,0,0,0.2971355,0.3000589,5002353,547.547,0.64,0.64,123.418,640.179
FRA,France,550787.7,46.53078,2.715019,375.12,53.7245,183.881,83.0762,0,0,0.3370173,0.8426569,5.67E+07,2368.794,0.32,0.9,63.8524,360.535
GUF,French Guiana,82675.75,3.85588,-52.9711,168.1815,128.254,128.53,607.139,1,1,0.4045926,0.4045926,90840,1.576,0.44,0.44,134.192,134.158
GAB,Gabon,255991.3,-0.650479,11.99441,377.5402,236.024,240.752,595.014,1,1,0.2581143,0.2640715,652965,8.328,0.28,0.28,272.859,273.628
GMB,"Gambia, The",10013.55,13.45759,-15.29753,34.4685,26.2397,139.565,36.5791,1,1,0.4219283,1,925734,105.786,0.58,1,5.71517,153.433
GEO,Georgia,72279.36,42.18116,43.77198,1432.375,240.333,239.982,583.045,0,0,0.2971111,0.3047205,5220455,83.882,0.27,0.27,220.703,220.328
DEU,Germany,349898,51.08291,10.55751,270.8496,41.1696,255.971,46.98,0,0,0.1684777,0.9425605,8.05E+07,1002.996,0.1,0.95,109.239,313.665
GHA,Ghana,235516,7.941534,-1.008413,190.3197,277.571,278.51,748.374,1,1,0.1955281,0.1955281,1.70E+07,394.435,0.45,0.45,277.436,277.579
GRC,Greece,105139.9,39.16258,22.8815,498.576,41.1515,41.4147,518.77,0,0,0.9206785,0.9242452,7422714,337.382,0.97,0.97,4.36763,3.75444
GRL,Greenland,2089010,74.70258,-41.20144,1792.64,2225.24,1919.15,3784.59,0,0,0,0,11941,120.339,0,0,2149.09,2108.47
GTM,Guatemala,108418.3,15.74233,-90.17939,759.6279,104.895,105.096,1494.16,1,1,0.4122921,0.4127533,9818430,1332.092,0.7,0.7,141.336,140.738
GIN,Guinea,253825.2,10.4008,-10.65598,472.8062,280.026,307.53,309.845,1,1,0.1329655,0.1599526,7130900,37.141,0.24,0.25,320.162,320.507
GNB,Guinea-Bissau,28226.06,12.07582,-14.64071,70.4717,42.2559,95.8202,55.1712,1,1,0.63328,1,697474,608.436,0.67,0.99,40.6199,85.2948
GUY,Guyana,209804.9,4.736548,-58.70181,207.0553,229.74,233.476,494.277,1,1,0.2200854,0.2200854,808542,26.583,0.43,0.43,215.598,215.443
HTI,Haiti    ,25683.41,18.97583,-72.49051,470.0736,24.8002,24.7766,924.246,1,1,1,1,6620034,249.957,1,1,13.5595,13.7275
HND,Honduras,113208,14.83656,-86.45557,684.9241,79.8539,79.3624,1344.31,1,1,0.6706684,0.6726559,5613469,218.779,0.69,0.69,107.382,107.947
HUN,Hungary,95568.61,47.20927,19.61035,143.5822,48.7502,507.231,48.7502,0,0,0,0.8998771,1.06E+07,180.36,0,0.93,57.0677,517.913
